e,14772,0.122
i,13584,0.113
t,10236,0.085
u,10047,0.083
s,9881,0.082
a,9815,0.081
r,8144,0.068
n,7690,0.064
o,6945,0.058
m,6248,0.052
c,4374,0.036
l,3374,0.028
p,3432,0.028
d,3188,0.026
q,2101,0.017
b,1969,0.016
v,1325,0.011
g,1147,0.01
f,1079,0.009
x,672,0.006
h,625,0.005
j,0,0.0
k,0,0.0
w,0,0.0
y,3,0.0
z,0,0.0
